Campaign,Date,Platform,Impressions,Clicks,Conversions,Spend
Spring Sale,2024-03-01,Facebook,15000,1200,85,450
Summer Promo,2024-06-01,Google,22000,1800,120,680
Back to School,2024-08-15,Instagram,18500,1450,95,520
Fall Campaign,2024-09-20,Facebook,20000,1600,110,590
Holiday Deal,2024-11-01,Google,25000,2100,150,720
New Year Sale,2024-12-26,Instagram,19000,1520,100,560
Brand Awareness,2024-02-10,Twitter,12000,850,45,320
Product Launch,2024-04-15,LinkedIn,9000,720,60,410
Retargeting,2024-05-20,Facebook,16000,1350,88,480
Email Campaign,2024-07-10,Email,8000,640,72,180
